731,1.0672,3.93E+18,511.35
732,1.1501,4.24E+18,512.46
733,1.1927,4.40E+18,513.63
734,1.2321,4.55E+18,514.85
735,1.2143,4.49E+18,516.07
736,1.2024,4.46E+18,517.28
737,1.2004,4.45E+18,518.48
738,1.2233,4.55E+18,519.69
739,1.187,4.42E+18,520.9
740,1.216,4.53E+18,522.1
741,1.2113,4.52E+18,523.31
742,1.2118,4.53E+18,524.52
743,1.2369,4.63E+18,525.75
744,1.2467,4.67E+18,526.99
745,1.2461,4.67E+18,528.24
746,1.2434,4.67E+18,529.48
747,1.2441,4.68E+18,530.72
748,1.2365,4.66E+18,531.96
749,1.2321,4.65E+18,533.2
750,1.2305,4.65E+18,534.43
751,1.225,4.63E+18,535.66
752,1.2294,4.65E+18,536.89
753,1.223,4.64E+18,538.11
754,1.2384,4.70E+18,539.34
755,1.2347,4.69E+18,540.58
756,1.2197,4.64E+18,541.81
757,1.2186,4.64E+18,543.03
758,1.2259,4.68E+18,544.25
759,1.191,4.55E+18,545.46
760,0.2653,1.02E+18,546.18
761,0.1535,5.88E+17,546.39
762,0.6857,2.63E+18,546.81
763,0.3784,1.45E+18,547.35
764,0.5372,2.07E+18,547.8
765,0.684,2.63E+18,548.41
766,0.8122,3.13E+18,549.16
767,0.9713,3.75E+18,550.05
768,1.1106,4.29E+18,551.09
769,1.1245,4.35E+18,552.21
770,1.1574,4.49E+18,553.35
771,1.1652,4.52E+18,554.51
772,1.1744,4.56E+18,555.68
773,1.1737,4.57E+18,556.86
774,1.1737,4.57E+18,558.03
775,1.1737,4.58E+18,559.21
776,1.1764,4.60E+18,560.38
777,1.1693,4.57E+18,561.55
778,1.1679,4.57E+18,562.72
779,1.1731,4.60E+18,563.89
780,1.1602,4.56E+18,565.06
781,1.1573,4.55E+18,566.22
782,1.1628,4.58E+18,567.38
783,1.158,4.57E+18,568.54
784,1.1503,4.54E+18,569.69
785,1.1552,4.57E+18,570.85
786,1.1558,4.57E+18,572
787,1.1417,4.52E+18,573.15
788,1.1272,4.47E+18,574.28
789,1.1224,4.46E+18,575.41
790,1.0878,4.33E+18,576.51
791,1.1026,4.39E+18,577.61
792,1.0921,4.35E+18,578.71
793,1.0843,4.33E+18,579.79
794,1.094,4.37E+18,580.88
795,1.09,4.36E+18,581.98
796,1.0711,4.29E+18,583.06
797,1.0881,4.37E+18,584.14
798,1.1089,4.46E+18,585.23
799,1.0873,4.37E+18,586.33
800,1.0694,4.31E+18,587.41
801,1.0812,4.36E+18,588.49
802,1.0825,4.37E+18,589.57
803,1.0626,4.30E+18,590.64
804,1.0751,4.35E+18,591.71
805,1.0514,4.26E+18,592.77
806,1.0942,4.44E+18,593.85
807,1.0828,4.40E+18,594.93
808,1.079,4.39E+18,596.01
809,1.0517,4.28E+18,597.08
810,1.0528,4.29E+18,598.13
811,1.0502,4.29E+18,599.18
812,1.0238,4.19E+18,600.22
813,1.0057,4.12E+18,601.24
814,0.9009,3.69E+18,602.19
815,0.8926,3.66E+18,603.09
816,0.8297,3.41E+18,603.95
817,0.8494,3.49E+18,604.79
818,0.8202,3.38E+18,605.62
819,0.9026,3.72E+18,606.48
820,0.8594,3.55E+18,607.36
821,0.9947,4.11E+18,608.29
822,0.9488,3.93E+18,609.26
823,0.6708,2.78E+18,610.07
824,0.9323,3.87E+18,610.87
825,0.9665,4.01E+18,611.82
826,0.9311,3.87E+18,612.77
827,0.9818,4.09E+18,613.73
828,0.8473,3.53E+18,614.64
829,0.9266,3.87E+18,615.53
830,0.9134,3.82E+18,616.45
831,0.9212,3.85E+18,617.37
832,0.8917,3.74E+18,618.27
833,0.9537,4.00E+18,619.2
834,0.9314,3.91E+18,620.14
835,1.0003,4.21E+18,621.11
836,0.9695,4.08E+18,622.09
837,1.0063,4.24E+18,623.08
838,0.9961,4.20E+18,624.08
839,0.9984,4.22E+18,625.08
840,1.0128,4.28E+18,626.08
841,1.0072,4.26E+18,627.09
842,0.9941,4.21E+18,628.09
843,1.0024,4.25E+18,629.09
844,0.9834,4.18E+18,630.08
845,1.0136,4.31E+18,631.08
846,1.0157,4.33E+18,632.1
847,0.9888,4.22E+18,633.1
848,0.9893,4.22E+18,634.09
849,0.9831,4.20E+18,635.07
850,0.8911,3.81E+18,636.01
851,0.9721,4.16E+18,636.94
852,0.9665,4.15E+18,637.91
853,0.9621,4.13E+18,638.88
854,0.8487,3.65E+18,639.78
855,0.9104,3.92E+18,640.66
856,0.9703,4.18E+18,641.6
857,0.9888,4.27E+18,642.58
858,0.9891,4.27E+18,643.57
859,0.9888,4.28E+18,644.56
860,0.9853,4.27E+18,645.55
861,0.9839,4.27E+18,646.53
862,0.9916,4.30E+18,647.52
863,0.9976,4.33E+18,648.51
864,0.9763,4.25E+18,649.5
865,0.9604,4.18E+18,650.47
866,0.8465,3.69E+18,651.37
867,0.9128,3.98E+18,652.25
868,0.9564,4.18E+18,653.19
869,0.9468,4.14E+18,654.14
870,0.9647,4.23E+18,655.09
871,0.9511,4.17E+18,656.05
872,0.9641,4.23E+18,657.01
873,0.9544,4.19E+18,657.97
874,0.9377,4.13E+18,658.91
875,0.9242,4.07E+18,659.85
876,0.95,4.19E+18,660.78
877,0.9534,4.21E+18,661.73
878,0.9496,4.20E+18,662.69
879,0.9338,4.13E+18,663.63
880,0.9368,4.15E+18,664.56
881,0.906,4.02E+18,665.48
882,0.9297,4.13E+18,666.4
883,0.9266,4.12E+18,667.33
884,0.9303,4.14E+18,668.26
885,0.9415,4.19E+18,669.19
886,0.9049,4.04E+18,670.12
887,0.908,4.05E+18,671.02
888,0.9196,4.11E+18,671.94
889,0.9318,4.17E+18,672.86
890,0.9213,4.13E+18,673.79
891,0.9232,4.14E+18,674.71
892,0.9062,4.07E+18,675.63
893,0.8707,3.91E+18,676.52
894,0.8488,3.82E+18,677.38
